Sample ID,PX,PY
s1,45.6049,499.0658
s2,45.6049,499.0658
s3,45.6049,499.0658
s4,45.6049,499.0658
s5,45.6049,499.0658
s6,45.6049,499.0658
s7,45.6049,499.0658
s8,60,480
s9,120,480
s10,180,480
s11,240,480
s12,300,480
s13,300,420
s14,240,420
s15,180,420
s16,180,420
s17,180,420
s18,180,420
s19,120,420
s20,60,420
s21,60,380
s22,120,380
s23,120,380
s24,120,380
s25,120,380
s26,180,380
s27,240,380
s28,300,380
s29,300,300
s30,240,300
s31,180,300
s32,180,300
s33,180,300
s34,180,300
s35,120,300
s36,60,300
s37,60,240
s38,120,240
s39,180,240
s40,240,240
s41,300,240
s42,300,180
s43,240,180
s44,180,180
s45,120,180
s46,60,180
s47,60,120
s48,120,120
s49,180,120
s50,240,120
s51,300,120
s52,300,60
s53,240,60
s54,180,60
s55,120,60
s56,60,60
s57,60,60
s58,60,60
s59,60,60
s60,60,60
s61,60,60
s62,60,60
s63,60,60
s64,60,60
s65,60,60
s66,120,60
s67,120,60
s68,120,60
s69,120,60
s70,120,60
s71,120,60
s72,120,60
s73,120,60
s74,120,60
s75,159,281
s76,160,281
s77,161,281
s78,159,280
s79,160,280
s80,159.95,280.05
s81,160.05,280.05
s82,159.95,279.95
s83,160.05,279.95
s84,161,280
s85,159,279
s86,160,279
s87,161,279
r1,259.55345,396.283153
r2,264.898099,66.3534594
r3,108.673488,384.334937
r4,239.30743,266.531324
r5,194.018925,249.588442
r6,164.583028,49.3354747
r7,216.781196,272.719117
r8,72.3199833,342.356993
r9,197.67815,139.000396
r10,209.215548,380.989466
r11,149.858026,217.019037
r12,212.58694,277.262431
r13,264.321339,103.71013
r14,101.302918,121.812823
r15,150.950277,110.048875
r16,265.603485,390.74602
r17,274.774343,86.6529277
r18,68.1969668,152.589445
r19,153.9993,375.362008
r20,174.479859,165.550351
r21,256.967533,404.378876
r22,73.2904403,56.5577638
r23,277.334015,182.725874
r24,267.200376,170.03036
r25,59.7850139,94.3705479
r26,163.410828,197.010484
r27,133.648832,235.285564
r28,257.377151,59.5754393
r29,147.272711,454.756804
r30,240.641022,421.549979
r31,217.022948,451.343862
r32,234.653234,111.59833
r33,133.145988,57.9484371
r34,204.440735,99.9895929
r35,40.9476013,191.443953
r36,239.899859,268.656631
r37,41.7601953,433.70658
r38,89.8381535,306.930524
r39,257.584338,243.593543
r40,186.826874,76.0764156
r41,131.094218,436.863539
r42,144.58518,185.619784
r43,48.9834479,195.125414
r44,273.649579,302.142472
r45,143.6203,345.510447
r46,269.818383,123.129806
r47,253.061177,287.260384
r48,193.594905,394.01681
r49,273.031986,459.739194
r50,188.52117,44.8040647
r51,120.022531,384.959377
r52,123.21958,126.362007
r53,135.636499,87.7980375
r54,228.326266,328.995979
r55,49.3447579,154.643754
r56,219.710893,385.731349
r57,202.546439,310.646489
r58,81.1034393,261.718958
r59,102.661111,52.0334066
r60,163.459104,160.611416
r61,202.145746,54.945082
r62,275.876128,417.104541
r63,222.290624,95.0069533
r64,175.957222,61.6065173
r65,243.925532,192.85754
r66,85.4737445,332.101929
r67,105.108788,414.769835
r68,238.758036,142.596002
r69,206.369157,204.625887
r70,97.7307375,300.465061
r71,50.317311,277.08873
r72,73.7149826,57.3886599
r73,91.9324996,239.182264
r74,155.055655,438.666198
r75,87.3784821,140.939165
r76,212.645401,324.819515
r77,41.8923373,423.641517
r78,130.117592,59.144241
r79,163.45785,97.2993951
r80,40.376933,82.1487779
r81,179.584961,212.054938
r82,77.89725,447.378095
r83,126.166793,192.873553
r84,194.951651,344.458594
r85,226.197607,335.12625
r86,175.275242,50.4221321
r87,96.0888157,437.319387
r88,61.5953239,264.066434
r89,60.5468956,332.44985
r90,113.252409,59.0081511
r91,200.182364,424.96
r92,40.0573352,53.7945728
r93,90.0567897,366.464841
r94,263.928191,260.979546
r95,262.15474,151.771191
r96,216.182632,252.073153
r97,119.937276,263.648008
r98,163.615199,76.4854994
r99,218.553915,424.552601
r100,188.598218,276.88347
r101,190.298883,64.876821
r102,92.1178476,322.544792
r103,91.9761546,303.475525
r104,133.346807,70.5992764
r105,266.189366,223.836123
r106,271.025923,309.447113
r107,217.565267,380.187185
r108,215.979017,204.536248
r109,168.58271,364.837579
r110,40.5455119,406.825953
r111,186.144989,299.691509
r112,240.832374,190.248357
r113,220.365415,431.547806
r114,148.655577,352.786304
r115,168.589599,66.6985565
r116,168.970407,85.4454732
r117,40.3314025,383.886714
r118,125.359829,373.092314
r119,186.911942,63.9849552
r120,238.946111,421.200659
r121,125.61328,343.088218
r122,138.55243,419.136938
r123,177.634216,264.999991
r124,181.522793,186.386521
r125,212.71775,389.983219
r126,134.793531,371.938176
r127,260.608943,263.191805
r128,271.01687,367.061968
r129,96.0456461,64.5107576
r130,213.879424,232.406379
r131,256.872286,49.3790369
r132,184.83378,350.753427
r133,191.561752,336.409576
r134,264.972604,42.3968014
r135,244.11586,237.716352
r136,179.157016,290.392476
r137,237.136942,159.277309
r138,67.2924662,63.192102
r139,223.481862,198.707202
r140,189.66723,262.69403
r141,75.6271856,145.410789
r142,59.263472,436.516327
r143,151.376692,223.745074
r144,227.048359,334.448059
r145,216.04671,113.856115
r146,236.135307,141.629426
r147,80.8389955,49.9469368
r148,266.732878,178.08384
r149,110.469722,213.498399
r150,75.7772926,85.6769134
r151,212.650862,397.861949
r152,117.780629,43.8051742
r153,226.91428,447.300682
r154,134.66584,377.951611
r155,202.862288,250.436682
r156,226.19801,432.355238
r157,85.0885706,236.497934
r158,46.9805965,254.610254
r159,72.5713113,389.533155
r160,203.239403,107.472831
r161,264.357509,258.97184
r162,172.11858,222.098033
r163,184.423897,179.363595
r164,87.2786772,228.169975
r165,168.456787,57.2902913
r166,83.0933774,142.212901
r167,148.452759,83.3312555
r168,116.092804,192.514998
r169,67.8819209,316.251654
r170,84.6645176,218.516656
r171,215.135223,70.32089
r172,138.849297,328.5993
r173,139.371924,398.170132
r174,155.274431,404.231372
r175,142.598672,77.414381
r176,72.7576864,45.4760076
r177,237.923058,217.767549
r178,182.153018,448.768549
r179,230.655275,249.608597
r180,224.567782,457.754094
r181,260.33354,247.850365
r182,247.031146,91.6749526
r183,116.074057,275.36202
r184,102.222538,140.502861
r185,218.143948,344.605222
r186,219.366668,370.131506
r187,260.296968,228.908392
r188,230.36589,237.013566
r189,71.9991084,208.78121
r190,109.059941,418.997715
r191,86.7222745,276.749132
r192,228.186252,330.218604
r193,70.9293188,179.55518
r194,70.981428,79.8429246
r195,57.3407467,433.919606
r196,52.751076,321.828007
r197,167.649865,46.2975185
r198,66.953978,87.5077827
r199,218.365053,396.07216
r200,215.515715,227.664166
r201,252.428245,208.789764
r202,164.106653,221.529965
r203,244.463436,318.713854
r204,146.271104,116.595117
r205,77.8912241,392.102279
r206,146.157913,425.29665
r207,272.25608,375.286447
r208,156.301103,251.283638
r209,100.590025,146.872989
r210,102.325595,320.243083
r211,170.083826,435.261737
r212,195.970201,451.919632
r213,120.740592,61.964855
r214,54.6279391,200.609899
r215,148.314604,378.594586
r216,241.301208,270.112834
r217,177.91296,167.875099
r218,124.804091,208.968027
r219,171.382259,51.5902303
r220,254.252463,396.577349
r221,157.597737,53.0341551
r222,81.1917072,313.962569
r223,170.327439,290.673264
r224,270.752247,171.296636
r225,115.284117,454.502242
r226,236.923492,388.149314
r227,113.693056,295.241531
r228,84.5088595,98.007307
r229,51.6032264,405.789408
r230,98.9617953,282.376852
r231,124.265661,375.65248
r232,78.1653716,51.8424066
r233,112.983519,147.670251
r234,44.2115979,357.842104
r235,279.172643,388.578288
r236,233.054395,259.959144
r237,60.7793444,307.933788
r238,248.783985,244.920354
r239,173.100607,284.372211
r240,141.130821,82.1554095
r241,56.2328366,393.477867
r242,174.74511,209.047427
r243,56.9732546,364.493938
r244,90.7340653,439.612297
r245,171.908899,151.496972
r246,155.675548,388.304949
r247,78.2727651,314.537659
r248,75.8989588,375.376334
r249,159.825491,118.183611
r250,265.735571,356.977181
r251,120.215518,349.086555
r252,85.2242391,355.750014
r253,104.731883,179.698083
r254,167.378579,64.1704222
r255,45.1480548,323.254488
r256,231.702474,57.4594727
r257,66.4804241,310.296473
r258,169.551589,165.833893
r259,177.096135,205.241054
r260,188.548371,427.87179
r261,211.564886,325.271473
r262,69.5921389,341.369449
r263,114.651909,341.197381
r264,266.977399,135.832265
r265,160.006022,211.685055
r266,72.4553198,279.867864
r267,248.621877,409.369063
r268,89.2119069,289.764771
r269,262.011014,425.620961
r270,252.820864,187.581165
r271,72.7109981,146.675131
r272,228.483866,339.92685
r273,148.792819,131.757605
r274,72.5781807,226.213574
r275,252.453049,332.409326
r276,120.81125,322.87174
r277,116.625788,115.826453
r278,136.907876,347.332974
r279,154.978554,177.156453
r280,128.296437,188.018328
r281,151.765736,371.377137
r282,51.9741167,193.105569
r283,84.9656108,158.927593
r284,275.838259,149.46023
r285,118.785777,51.3063061
r286,81.0391337,315.642932
r287,157.181175,353.647559
r288,44.4849788,305.081113
r289,121.47642,62.8976018
r290,47.1192101,261.459643
r291,248.134879,76.8644394
r292,215.609824,153.520762
r293,115.662591,40.5344618
r294,132.748963,336.736026
r295,119.787038,374.77375
r296,61.5467131,96.4030079
r297,221.693345,291.634801
r298,184.712439,190.869749
r299,74.8959934,324.787115
r300,47.804196,193.69063
r301,156.104354,376.372358
r302,146.696687,454.552716
r303,54.4925416,242.969495
r304,118.601445,73.0546234
r305,250.822971,96.4711238
r306,263.345173,415.620951
r307,134.12283,339.689565
r308,78.123226,407.150241
r309,116.787424,419.585446
r310,113.671749,240.465983
r311,65.8747011,68.0470059
r312,275.040233,342.349199
r313,159.256823,154.210191
r314,62.3379213,177.163746
r315,90.825678,201.720843
r316,263.320179,178.898031
r317,111.243138,81.4037321
r318,196.77238,284.095086
r319,256.256915,357.600675
r320,277.79099,257.141743
r321,143.279973,155.300834
r322,134.506461,226.739466
r323,74.0581349,416.154637
r324,107.153607,426.938682
r325,175.557333,258.961297
r326,264.433481,361.662455
r327,126.016035,362.023039
r328,242.081723,392.056473
r329,213.378211,435.11487
r330,220.176637,217.569889
r331,261.757229,293.989073
r332,40.5707456,132.483086
r333,78.5031796,400.863458
r334,135.825508,429.630964
r335,202.076699,285.044171
r336,155.289284,316.714873
r337,168.118907,67.4295579
r338,116.068038,142.709977
r339,235.541822,253.753312
r340,110.132685,256.276131
r341,138.191702,360.738605
r342,61.8203938,152.497636
r343,231.663193,328.851182
r344,126.34846,274.244728
r345,49.7170184,221.010174
r346,49.8607216,401.584319
r347,269.064217,86.9010218
r348,129.601899,172.848118
r349,233.54072,351.215507
r350,258.414162,269.577035
r351,145.618291,115.47983
r352,178.320761,326.283852
r353,57.6802708,84.2331826
r354,79.5105747,161.204814
r355,217.573786,344.102726
r356,154.170643,59.0642864
r357,204.525029,85.7057451
r358,268.363586,215.403763
r359,159.391477,290.540796
r360,152.92015,122.826364
r361,174.446068,250.464494
r362,196.602429,386.383171
r363,107.09764,78.6628572
r364,275.177821,237.571793
r365,194.527386,409.994595
r366,179.818825,223.006052
r367,187.809046,156.195449
r368,262.033671,63.9965288
r369,133.605495,411.668971
r370,109.100724,102.111884
r371,61.7766315,173.300223
r372,117.288137,325.858713
r373,221.984827,158.703064
r374,65.0591031,218.391687
r375,210.466685,244.768752
r376,271.954572,141.394561
r377,88.3578943,191.26314
r378,66.0372771,69.044979
r379,53.2965229,191.491997
r380,239.133644,452.851246
r381,179.487462,119.826433
r382,152.82217,406.194801
r383,127.603389,87.2855245
r384,107.229911,121.517317
r385,183.931805,346.665764
r386,236.456707,153.504118
r387,63.4797473,128.226378
r388,271.285486,284.664386
r389,80.4967464,75.4228461
r390,60.6600174,238.200457
r391,246.690567,168.427601
r392,165.949744,414.095086
r393,197.63461,128.86549
r394,95.0846495,258.830768
r395,213.094248,45.9477938
r396,157.780095,261.262969
r397,271.661342,201.930873
r398,257.666195,40.6442165
r399,172.300127,277.88106
r400,58.1437839,228.086887
r401,45.4480027,298.671932
r402,163.177487,61.0895596
r403,191.374276,314.152776
r404,140.50519,175.665291
r405,251.023827,106.5495
r406,65.9168975,128.987199
r407,275.266887,196.372472
r408,103.591992,322.948963
r409,60.2266056,105.790278
r410,132.617722,209.581954
r411,69.9749985,150.28088
r412,179.573013,186.831723
r413,97.6359059,87.5314074
r414,213.253093,163.215346
r415,75.0228858,95.486967
r416,76.6813049,232.443782
r417,102.213441,348.95781
r418,226.692702,62.6166458
r419,142.351912,204.89641
r420,54.4116007,393.452301
r421,67.5598089,207.109136
r422,155.861655,231.675447
r423,275.00166,442.421058
r424,234.764029,365.875477
r425,170.299076,240.221611
r426,57.3681009,453.519286
r427,151.956459,164.156947
r428,121.577355,116.162554
r429,205.580465,364.472988
r430,163.397769,405.703532
r431,163.581524,171.475879
r432,170.923445,423.991307
r433,147.389759,424.345986
r434,60.1323617,379.14933
r435,263.232086,188.191541
r436,43.9475647,323.7407
r437,139.382176,152.936695
r438,94.4742624,442.246736
r439,63.913741,90.9788295
r440,155.90173,175.649311
r441,196.030881,304.090217
r442,261.119147,141.610388
r443,127.024434,430.073062
r444,245.232398,288.976622
r445,112.217476,191.585017
r446,151.758982,295.510481
r447,74.2553596,293.316301
r448,233.852558,410.02135
r449,199.793832,304.833928
r450,54.8658352,403.666489
r451,143.422136,427.456265
r452,135.24522,278.887092
r453,207.26962,353.578449
r454,198.236716,204.624524
r455,137.76417,99.4252258
r456,113.660853,436.94985
r457,101.225763,142.031497
r458,201.416357,49.3431854
r459,254.654424,135.67361
r460,242.976677,139.316461
r461,134.296446,273.642346
r462,58.9721296,318.336496
r463,238.821534,249.338625
r464,57.494038,88.5407898
r465,67.5430426,310.286833
r466,193.596225,303.403199
r467,116.935888,147.301695
r468,85.2998863,139.016998
r469,134.519114,188.398431
r470,246.886244,169.02597
r471,123.498738,363.720218
r472,40.3441356,135.928287
r473,258.708269,233.33787
r474,268.413628,391.97116
r475,157.820556,147.714263
r476,151.276412,233.357239
r477,183.153291,390.392048
r478,257.45223,178.713311
r479,81.520283,252.261315
r480,228.611458,364.100196
